Jahr;Op.#;RSWV;Aus Film/Operette/Musical;Titel;Komponist;Texter;Refrain;Strophe_1;Strophe_2;Strophe_3;# Strophen;Tonart;Taktart;Tempoangabe
1916;op. 247;166;;Im Prater blüh'n wieder die Bäume;Robert Stolz;Kurt Robitschek;"Im Prater blüh'n wieder die Bäume, in Sievering grünt schon der Wein, da kommen die seligen Träume; es muß wieder Frühlingszeit sein. Im Prater blüh'n wieder die Bäume, es leuchtet ihr duftendes Grün, drum küss', nur küss', nicht säume, denn Frühling ist wieder in Wien!";Kinder, schaut's zum Fenster raus! Mutterl, da guck hin, lacht die Sonn' uns alle aus, ist denn das mein Wien? Maltschi nimm dein weißes Kleid mit dem blauen Band: Kinder es is' höchste Zeit, fahr'n mir heut' aufs Land! Heut' greif' i ins Portmonnai, daß mei Wien i wiederseh'.;Einmal fahr'n mir Ringelspiel, immer rund herum, dös is' etwas fürs Gefühl und bringt kanen um. Waßt noch, Mutterl was du g'fühlt einst mit deinem Franz Mutterl, wann die Musik spielt, drah'n mir uns im Tanz! Hopsa schiabrisch so an Sprung! Heut' bin i mal wieder jung';"Laut die Abendglokke klingt durch das Lüfterl fein, san mir schon in Sievering, vor uns steht der Wein! Windlicht flakkert hin und her, langsam wird's schon kalt; Mutterl, bitt di, flenn net mehr, schau, mir werd'n halt alt! Guck da auf die Lichterln hin, was da blinkt, das is mei Wien!";3;F-Dur;3/4(Ref), 2/4(Verse);Gemütliches, leicht bewegtes Tempo
1918;op. 300;209;;Frühling in Wien;Robert Stolz;Arthur Rebner;"Das ist der Frühling in Wien, so lind und lau, wenn alle Knospen erblühn in der Kriau! Wenn man sich sitzt vis-a-vis, der Johann und die Marie, und wenn der Jüngeling der Maid die ersten Veilchen steckt ans Kleid! Der Schani tragt vor's Café den Garten 'raus, in jeder Praterallee küßt man sich aus; wenn dann vom knien an den Knien so manche Hose wird grün, dann ist der singende, klingende Frühling in Wien!";Gestern abends ging Frau Grete heim, sprach sie an ein Kavalier: Schöne Frau, Sie sind's, von der ich träum', kommen Sie, ich bitt', in den Prater mit! Denn der Mai lädt uns zum Leichtsinn ein und in allen Herzen brennts! Was ich predige, meine Gnädige, flüstert jeder Praterbaum Ihnen zu im Lenz:;Gestern abends war im Prater g'rad eine Walzerkonkurrenz, und als unser Paar zum Tanz antrat, hat es gleich gesiegt und den Preis gekriegt! Beide wurden mit Jasmin bekränzt und sofort photographiert, dann bekam das Paar eine Uhr sogar und zum Schluß hat die Musik intoniert:;"Heute morgen ward Frau Grete wach, weil der Gatte furchtbar brüllt; denn als Titelblatt im Extrablatt fand er zornerfüllt seiner Gattin Bild! Und er wollt' sich lassen scheiden gleich, nach dem bösen Seitensprung; doch der Rechtsanwalt sagt kühl alsbald: „Ihre Gattin hat die beste Entschuldigung!“";3;F-Dur;2/4;Zierlich bewegt
1928;op. 506;375;;Dann zieht der Frühling ein;Robert Stolz;Alfred Steinberg-Frank;Dann zieht der Frühling ein mit Sonnenschein und Flieder, ins alte Wien, die Stadt der Liebe und der Lieder, er schwebt geschmückt hinaus, in's kleinste Vorstadthaus, und süße Wiener Mäderl spenden ihm Applaus! Was auch das Schicksal mit der lieben Stadt getrieben, das Wienerherz und auch der Frohsinn sind geblieben, es hat der Herrgott in sein Stammbuch geschieben: Da war der Walzerkönig Johann Strauß zu Haus!;"""Mutter, heiz' den Ofen ein, Mizzerl bring' die Jause, muß ich euch denn alles sag'n, gleich wird's halber Fünfe schlag'n!"" ""Brumm' net Alter,"" sagt die Frau, ""du wirst nicht erfrieren, wirklich komisch, nur zu Haus' halt'st du's nie vor Kälte aus! Doch sind Mäderl wo dabei, lacht für dich der Mai!"" Er denkt, net schlecht, hast recht!";"Selig sitzt ein junges Paar draußen wo beim Weine, und er sagt ihr leis' in's Ohr: ""Du, im Herzen geht was vor."" Schlingt verliebt den Arm um sie, ""bald wirst du die Meine, Prosit ex! Trink' aus den Wein, heute woll'n wir glücklich sein!"" Lachend reicht sie ihm den Mund und er küßt ihn wund. ""Paß auf, bald schlägt die Stund':";Streiten muß die ganze Welt, keiner lebt zufrieden, und das wär doch nicht so schwer, wenn die Menschheit einig wär! Auch für unser deutsches Volk wird die Sonne scheinen, wenn die Liebe Einzug hält endlich auf der ganzen Welt, wenn sich fest zusammen schließt, was vom Stamme ist... Der Rhein die Donau küßt!;3;Es-Dur;2/2;Slow Fox Tempo (Moderato) (Als Liedvortrag ziemlich ruhig, wienerisch vorgetragen.)
1929;op. 534;393;;Das Mädel vom Rhein ist ein Frühlingsgedicht;Robert Stolz;Rudolf Perak;Das Mädel vom Rhein ist ein Frühlingsgedicht von Herrgott persönlich geschrieben, das Mädel vom Rhein muß man lieben! Und wenn sie Dich küßt, dann vergißt Du sie nicht, die seligen Stunden bei Liebe und Wein und das Mädel vom Rhein!;Dort wo auf grünen Höh'n goldene Reben steh'n, schaut über'n Weinberg hinaus ein Haus. Abends im Dämmerschein trink' ich dort Wein vom Rhein, küsse die blonde Marie, und wie! Lieben und trinken wie's einem gefällt, Prosit! Sollst leben, du schöne Welt!;Wenn dann am Abend spät alles nachhause geht, leuchten die Stern' ohne Zahl zum Tal. Groß ist ein Rheinweinfaß, immer nochmal ein Glas, immer nochmal einen Kuß, zum Schluß! Bin ich berauscht von der Liebe, vom Wein? Schuld daran ist die Marie allein!;Was ist denn mit mir los, hier stand ein Haus doch bloß? Nun ist es plötzlich ein Platz, mein Schatz! Wo die Marie 'mal war tanzt eine Mädchenschaar immer im Kreis um mich 'rum, zu dumm! Selbst jede Rebe am Weinstock tanzt mit, Alle, sie singen dasselbe Lied:;3;Es-Dur;3/4;Stark betonter Walzerrhythmus
1931/2;op. 590b;454;Wenn die kleinen Veilchen blühen (Singspiel);Es lebe die Liebe;Robert Stolz;Bruno Hardt-Warden;Es lebe die Liebe, wer weiß denn, was morgen geschieht! Es lebe die Liebe, die heiß unser Herz durchzieht! Täglich sagen wir dem Frühlingswind: Siehst du irgendwo ein schönes Kind, dann grüß' es von uns, dann küß' es für uns! Es lebe die Liebe, so lange die Welt zusammen noch hält! Es lebe mein Lieb im Mai!;Drei Corpsstudenten mit viel Talenten, doch ohne Renten stellen sich vor! Drei junge Herzen voll Sehnsuchtsschmerzen flammen wie Kerzen zum Himmel empor! Drei kleine Mädels tanzen allnächtlich durch alle Träume, die Gott uns gibt! Frühling, du siehst es, Frühling, du hörst es, Frühling, wir sind so verliebt!;Drei Corpsstudenten mit viel Talenten, doch ohne Renten sind dennoch reich! Hat man auch wenig, kaum einen Pfennig, dünkt einem König doch jeder sich gleich! Purpurne Träume schenkt uns die Jugend, die noch an Wunder hoffnungsvoll glaubt! Und erst der Leichtsinn! Und dann die Liebe! Gibt es denn mehr überhaupt!; ;2;Es-Dur;2/4;Marschtempo (stramm)
1931/2;op. 590f;454;Wenn die kleinen Veilchen blühen (Singspiel);Du - Du - Du, schließ' deine Augen zu!;Robert Stolz;Bruno Hardt-Warden, A. Robinson;Du, du, du, schließ' deine Augen zu! Denn deine Augen, sie müssen nicht wissen, daß uns're Lippen sich heimlich schon küssen. Du, du, du, schließ' deine Augen zu! Du fühlst es ja, mein Herz ist dir so nah! Was ich auch immer tu', schließ' deine Augen zu!;Noch schwebt dein süßer Duft um mich und spricht: Ich liebe dich! Kaum fand mein Herz das rechte Wort, gingst du von mir schon fort! Ich wollt' so viel dir sagen, ich wollt' so viell dich fragen! Doch jetzt erst stellt das Wort sich ein, das dich umspiele wie warmer Sonnenschein!:;Ich weiß, es ist das nächste Mal die gleiche Lust und Qual, was ich dir wirklich sagen will, das bleibt in mir doch still! O Frühling, wenn ich schweige, dann leih' mir deine Geige! Dann spiel' ich eine Melodie und die, mein Liebling, sollst du vergessen nie!; ;2;C-Dur;3/4;Breit, English Waltz (Moderato)
1931/2;op. 590;454;Wenn die kleinen Veilchen blühen (Singspiel);In Bacharach am Rhein;Robert Stolz;Bruno Hardt-Warden;"In Bacharach, in Bacharach, in Bacharach am Rhein, da kehre ich im ""Alten Haus"" mit tausend Freuden ein! Denn sitzt du unter'm Rebendach beim Wein ein Stündelein, dann siehst du doppelt Bacharach und doppelt auch den Rhein!";Heut' strahlt der Himmel golden, heut' ist die Welt so blau! Es schimmern alle Dolden im Silbermorgentau! Heut' machen wir die Rheinfahrt, die jeder Deutsche macht, das wird die schönste Weinfahrt, vom Frühling selbst erdacht! Heut' singen wir das frohe Lied, das mit den grünen Wellen zieht:;Wir zechen hier drei Tage, wir zechen jede Nacht, die Sorge wird zur Sage, das Glück vertausendfacht! Wir wollen uns bekränzen mit edlem Rebenlaub, die Welt hat keine Grenzen, sie wird des Weines Raub! Und hoch hinauf zum Sternenwald erschallt das Lied mit Allgewalt:;Und hast du weiße Haare und hab' ich weißes Haar, ich trotzdem fröhlich fahre zum Rhein wie jedes Jahr! Und rollen auch paar Tränen in's lichte Rebengold, so will's mir dennoch wähnen: Die Jugend ist mir hold! Und ich sing' wie vor dreißig Jahr', da ich ein blonder Knabe war:;3;G-Dur;2/4;Gemütliches Polkatempo
1934;op. 624;482;Frühjahrsparade (Operette), Die Deutschmeister (Film);Singend, klingend ruft dich das Glück;Robert Stolz;Ernst Marischka;Singend, klingend ruft dich das Glück! Singend, klingend lockt die Musik! Frag' nicht lang', ob's eine Sünde ist, wenn du selig bist und zwei Lippen küßt! Hör doch nur: Singend, klingend ruft dich das Glück! Singend, klingend lockt die Musik! Und darum zugepackt! Tanz' im Dreivierteltakt! Tanze mit mir in's Glück!;Ist es der Frühling? Der Walzer allein? Sind es die Geigen? Die Luft hier? Der Wein? Etwas ist doch schuld dran in Wien, daß ich so gut aufgelegt bin! Ist es dein Lachen? Der Druck deiner Hand? Ich verlier' langsam den Kopf, den Verstand! Denn ein kleiner Teufel flüstert leise mir zu, und sagt Du:;Ist es die Stimmung? Dein Blick nur allein? Oder die Sehnsucht, mal glücklich zu sein? Wüßt' ich, was mir Anlaß nur gab, daß ich so stark Herzklopfen hab? Ist es die Liebe? Ich kenn mich nicht aus! Ist's was Verbot'nes? Ich mach' mir nichts draus! Einmal ist doch keinmal und grad' einmal wär' ich gern verliebt!; ;2;Es-Dur;3/4;Walzertempo (belebt)
1935;op. 646;510;Zum Goldenen Halbmond (Zum Goldenen Kipferl) (Operette);Nur der Frühling weiß es…;Robert Stolz;Fritz Koselka, (Willy Werner Göttig, Robert Gilbert);Nur der Frühling weiß es, einem Mädel bin ich treu, und mein Herz, mein heißes, ist schon lange nicht mehr frei! Und ich träume täglich eine süße Träumerei, die ist ganz unsäglich, darum sag' ich's nur dem Mai. Dein geliebter Mund ist schon ein Grund, daß ich dich küssen muß, doch ich seh' nicht ein, warum die ganze Welt das wissen muß! Nur der Frühling weiß es, ich bin dir treu! Und mein Herz, mein heißes, ist nicht mehr frei!;In der ersten Frühlingsnacht hab' ich mir was ausgedacht, hab' es zu Papier gebracht, doch nur für Sie! Ist es gar so sehr geheim? Wohl auf Herz und Schmerz ein Reim? Ja, ich hab's gesetzt auf eine Melodie.;So ein kleines Liebeslied, wie das gleich in's Herzchen zieht, wenn sich in die Augen sieht ein junges Paar! Wenn es ihren Beifall hat, schau'n sie mit in's Notenblatt, mit der zweiten Stimme wirkt es wunderbar:; ;2;F-Dur;4/8;
1948 (komp. in 6 Tagen im April);op. 826;646;Lied aus der Vorstadt (Musical);Wiener Frühling;Robert Stolz;Dora Maria Brandt, Georg Fraser (=August Hermann Zeiz);Wiener Frühling! Du verzauberst alle Menschen über Nacht. Wiener Frühling! Du bezwingst uns wie im Sturm mit deiner Macht. Und es klingt in allen Herzen eine süße Melodie. Sie heilt Wunden, lindert Schmerzen und verklingt im Herzen nie. Wiener Frühling! Wiener Lieder! Wiener Blut und Wiener G'müt! Glücklich sind wir immer wieder, wenn in uns die Liebe blüht.;Wie der Sang der Lerche klingt es hell und heiter mir in's Ohr, und in meinem Herzen singt es wie ein ganzer Jubelchor. Junge, frühlingswarme Triebe fühl' ich durch die Seele gehen, und mir ist als ob ich liebe, ja wie ist denn das geschehn: ;In den Sternen steht's geschrieben, und ich les' es hell und klar: Eine werde ich sehr lieben, lieben ehrlich, treu und wahr. Aber einmal wird's vorbei sein mit dem Frühling, mit dem Glück, doch ich werd' ihm niemals gram sein, werde denken gern zurück:; ;2;Es-Dur;2/2;Moderato
1946-48 (komp.), 1949 (UA);op. 850;651;Frühling im Prater (Operette);Zieht der Frühling durch den Prater;Robert Stolz;Ernst Marischka;Zieht der Frühling durch den Prater, wird's lebendig weit und breit, denn das ist ja zum Verliebtsein d'aller-allerschönste Zeit!;"In den Sträuchern, auf den Bäumen singen d' Vogerln hell im Chor und die tausend bunten Blumen blicken neugierig empor, denn sie seh'n zwei Schwerverliebte durch den schönen Prater geh'n, stillvergnügt und selig lächelnd, nur beim Küssen belib'n sie steh'n! Zärtlich zieht er sie an sich leise fragt sie ""Liebst du mich?"" Und dann biegt sie sich zurück und versinkt in einem Meer von Glück. Ja..."; ;;1;F-Dur;3/4;Ruhig (wienerisch-liedartig)
1955;op. 963;709;Frühjahrsparade (Operette), Die Deutschmeister (Film);Wenn die Vöglein musizieren…;Robert Stolz;Ernst Marischka;"Wenn die Vöglein musizieren, dann ruf' ich ""Hurra! Der Frühling ist da!"" Und dann muß ich losmarschieren, bergauf und bergab stundenlang! Überall, ringsumher nur ein Blühen! Und Wangen, die glühen! Überall ringsumher nur ein Scherzen, und Herzen von Liebe voll! Wenn die Vöglein musizieren, dann ruf' ich ""Hurra! Der Frühling ist da!"" Und dann muß ich losmarschieren, denn dann erst gefällt mir die Welt!";"Alles schnäbelt früh und spät! Ja, das ist der Frühling! Jeder Mann auf Brautschau geht, wenn die Sonne lacht! Jeder Ochs, jede Kuh macht verliebt und zärtlich ""muh""! Alles quitscht, alles baltzt, alles zwitschert, piepst und schnalzt!";"Jeder Hahn ruft ""Kikriki!"" Ja, das macht der Frühling! ""So verliebt war ich noch nie!"" ruft er schon ganz früh! Jede Gans, jede Geiß freut sich diebisch, weil sie weiß, daß der Tag nicht mehr weit, wo ein Freier um sie freit!"; ;2;C-Dur;2/2;
1955;op. 964;710;Frühjahrsparade (Operette), Die Deutschmeister (Film);Im Frühling im Mondschein im Prater in Wien;Robert Stolz;Ernst Marischka;Im Frühling im Mondschein im Prater in Wien, von weitem die Geigen ein Duft von Jasmin… Von ringsumher hört man ganz leise Musik, zwei Menschen sind selig und träumen vom Glück. Erst hört man sie plaudern, dann wird es ganz still… denn richtig Verliebte, die reden nicht viel... ein Busserl fliegt her und ein Busserl fliegt hin... im Frühling im Prater in Wien!;So war's immer schon, so ist es auch heut', so wird's auch sein, wenn wir lang nimmer sind! Denn verliebte Leut' gibts zu jeder Zeit und wissenS' wo man die meisten find't?; ; ;1;G-Dur;3/4;Langsames Walzertempo
(Druck 1963);o.A.;751;;Mit dem Frühling kommt die Liebe;Robert Stolz;Alex Österlein, Hans Kaszubski;Mit dem Frühling kommt die Liebe, mit der Liebe kommt das Glück. Darum nütze jede Stunde, jeden kleinsten Augenblick. Mit dem Frühling kommt die Liebe, mit der Liebe kommt das Glück. Darum nütze jede Stunde, denn die Zeit kommt nie zurück! Mit dem Frühling kommt der Mai!;Laß die Liebe niemals warten, geh nicht still an ihr vorbei, jedes Jahr hat einen Frühling, jeder Frühling nur einen Mai.; ;;2;C-Dur;3/4;Ruhiges Walzertempo
1968;o.A.;786;;Frühling in Amsterdam;Robert Stolz;Gerry Oord;Frühling in Amsterdam muß man einmal erleben! Frühling in Amsterdam, Schön'res kann es nicht geben! Frühling in Amsterdam, Amsterdam, Amsterdam, da schlägt das Herz bim-bam in Amsterdam.;"Tulpen erblüh'n, in Holland wird's grün, und die Grachten, die träumen; laden dich ein hier glücklich zu sein. Unter den blühenden Bäumen";;;1;B-Dur;3/4;Fröhliches Walzertempo
;;;;;;;;;;;;;;
;;;;;;;;;;;;;3/4 = 7x(8x);
;;;;;;;;;;;;;;
;;;;;;;;;;;;;2/2 = 3x;
;;;;;;;;;;;;;2/4 = 3x(4x);
;;;;;;;;;;;;;4/8 = 1x;
;;;;;;;;;;;;;;
;;;;;;;;;;;;B-Tonarten:;10;
;;;;;;;;;;;;#-Tonarten:;2;
;;;;;;;;;;;;C-Dur:;3;
